Fascia di etÃ ,Totale dei casi,Deceduti
51-161,1,0
51-99,1,0
51-172,1,0
51-171,1,0
51-170,1,0
51-169,1,0
51-168,1,0
51-167,1,0
51-166,1,0
51-165,1,0
51-164,1,0
51-174,1,0
51-162,1,0
51-175,1,0
51-160,1,0
51-159,1,0
51-158,1,0
51-157,1,0
51-156,1,0
51-155,1,0
51-154,1,0
51-153,1,0
51-152,1,0
51-151,1,0
51-163,1,0
51-186,1,0
51-199,1,0
51-197,1,0
51-196,1,0
51-195,1,0
51-194,1,0
51-193,1,0
51-192,1,0
51-191,1,0
51-190,1,0
51-189,1,0
51-173,1,0
51-187,1,0
51-148,1,0
51-185,1,0
51-184,1,0
51-183,1,0
51-182,1,0
51-181,1,0
51-180,1,0
51-179,1,0
51-178,1,0
51-177,1,0
51-176,1,0
51-188,1,0
51-110,1,0
51-122,1,0
51-121,1,0
51-120,1,0
51-119,1,0
51-118,1,0
51-117,1,0
51-116,1,0
51-115,1,0
51-114,1,0
51-113,1,0
51-150,1,0
51-111,1,0
51-125,1,0
51-109,1,0
51-108,1,0
51-107,1,0
51-106,1,0
51-105,1,0
51-104,1,0
51-103,1,0
51-102,1,0
51-101,1,0
51-100,1,0
51-112,1,0
51-136,1,0
51-200,1,0
51-147,1,0
51-146,1,0
51-145,1,0
51-144,1,0
51-143,1,0
51-142,1,0
51-141,1,0
51-140,1,0
51-139,1,0
51-123,1,0
51-137,1,0
51-124,1,0
51-135,1,0
51-134,1,0
51-133,1,0
51-132,1,0
51-131,1,0
51-130,1,0
51-129,1,0
51-128,1,0
51-127,1,0
51-126,1,0
51-149,1,0
51-138,1,0
51-262,1,0
51-201,1,0
51-72,1,0
51-71,1,0
51-271,1,0
51-270,1,0
51-269,1,0
51-268,1,0
51-267,1,0
51-266,1,0
51-265,1,0
51-74,1,0
51-263,1,0
51-75,1,0
51-261,1,0
51-260,1,0
51-259,1,0
51-258,1,0
51-257,1,0
51-256,1,0
51-255,1,0
51-254,1,0
51-198,1,0
51-252,1,0
51-264,1,0
51-86,1,0
51-98,1,0
51-97,1,0
51-96,1,0
51-95,1,0
51-94,1,0
51-93,1,0
51-92,1,0
51-91,1,0
51-90,1,0
51-89,1,0
51-73,1,0
51-87,1,0
51-251,1,0
51-85,1,0
51-84,1,0
51-83,1,0
51-82,1,0
51-81,1,0
51-80,1,0
51-79,1,0
51-78,1,0
51-77,1,0
51-76,1,0
51-88,1,0
51-212,1,0
51-224,1,0
51-253,1,0
51-222,1,0
51-221,1,0
51-220,1,0
51-219,1,0
51-218,1,0
51-217,1,0
51-216,1,0
51-215,1,0
51-250,1,0
51-213,1,0
51-225,1,0
51-211,1,0
51-210,1,0
51-209,1,0
51-208,1,0
51-207,1,0
51-206,1,0
51-205,1,0
51-204,1,0
51-203,1,0
51-202,1,0
51-214,1,0
51-238,1,0
51-249,1,0
51-248,1,0
51-247,1,0
51-246,1,0
51-245,1,0
51-244,1,0
51-243,1,0
51-242,1,0
51-241,1,0
51-223,1,0
51-239,1,0
51-226,1,0
51-230,1,0
51-227,1,0
51-228,1,0
51-240,1,0
51-229,1,0
51-237,1,0
51-231,1,0
51-232,1,0
51-233,1,0
51-234,1,0
51-235,1,0
51-236,1,0
0-18,30154,0
19-50,63368,27
51-70,38863,251
>70,16704,979
